"Timestamp","เพศ","ช่วงอายุ","แนวเกม","เกมที่เล่น #1","เกมที่เล่น #2","Platform ที่เล่นบ่อยที่สุด"
"2018/11/24 11:26:51 AM GMT+7","ชาย","16 - 22ปี","Action;Adventure;RPG;MOBA","League of legend","Ragnarok","PC"
"2018/11/24 11:29:35 AM GMT+7","ชาย","16 - 22ปี","Action;RPG;MOBA","Lol","Pso2","PC"
"2018/11/24 11:42:06 AM GMT+7","ชาย","16 - 22ปี","Action;MOBA","Leauge of legend","Rov","PC"
"2018/11/24 12:04:12 PM GMT+7","ไม่ต้องการระบุ","30 ปี ขึ้นไป","Other","ยุ่ง","ยุ่ง","Mobile"
"2018/11/24 12:54:07 PM GMT+7","ชาย","9 - 15ปี","Action;Adventure;RPG;Racing;MOBA","League of legends","CSGO","PC"
"2018/11/24 1:42:04 PM GMT+7","หญิง","16 - 22ปี","Adventure;Arcade;Sports;Music","Identity v","Rov","Mobile"
"2018/11/24 1:50:50 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Card;RPG;MOBA","LoL","Summonner wars","PC"
"2018/11/24 1:57:46 PM GMT+7","หญิง","16 - 22ปี","Action;Arcade;RPG;Puzzle;MOBA","LOL","7k","Mobile"
"2018/11/24 2:19:40 PM GMT+7","ชาย","9 - 15ปี","Adventure;Puzzle;Music;MOBA","league of legends","counter strike global offensive","PC"
"2018/11/24 2:21:26 PM GMT+7","ไม่ต้องการระบุ","30 ปี ขึ้นไป","Action;Adventure;RPG;Racing;Sports;MOBA;Other","RB6","MARIO","PC"
"2018/11/24 2:47:05 PM GMT+7","หญิง","16 - 22ปี","Adventure;Arcade;RPG;Music;MOBA","League of Legends","Pubg mobile","PC"
"2018/11/24 3:08:39 PM GMT+7","ชาย","9 - 15ปี","Action;Adventure;RPG;MOBA;Other","TeamFortress2","League of legends ","PC"
"2018/11/24 3:08:41 PM GMT+7","ชาย","9 - 15ปี","Action;Arcade;Card;Puzzle;MOBA;Other","LOL","Identity V","PC"
"2018/11/24 4:24:11 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;RPG;MOBA","LOL","PUBG","PC"
"2018/11/24 4:51:10 PM GMT+7","ชาย","16 - 22ปี","Action;MOBA;Other","point blank","Dota 2","PC"
"2018/11/24 5:09:21 PM GMT+7","ชาย","23 - 29ปี","Action;Adventure;Arcade;RPG;MOBA","Ragnarok M","Dota2","PC"
"2018/11/24 5:15:32 PM GMT+7","หญิง","16 - 22ปี","Action;Card;RPG;MOBA","LOL","Granblue fantasy","Mobile"
"2018/11/24 5:27:35 PM GMT+7","ชาย","16 - 22ปี","MOBA","LOL","LOL","PC"
"2018/11/24 5:34:08 PM GMT+7","หญิง","23 - 29ปี","MOBA","lol","au","PC"
"2018/11/24 5:57:43 PM GMT+7","ชาย","16 - 22ปี","Card;MOBA","เสือก","เสือก","PC"
"2018/11/24 6:26:39 PM GMT+7","ชาย","16 - 22ปี","RPG;MOBA"," Lol","Nostale","PC"
"2018/11/24 6:41:21 PM GMT+7","หญิง","16 - 22ปี","Puzzle;Music;MOBA","LOL","BT21","PC"
"2018/11/24 7:07:57 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;RPG;Racing;MOBA","Lol ","Gta v","PC"
"2018/11/24 7:22:53 PM GMT+7","ชาย","16 - 22ปี","Adventure;RPG;MOBA","Lol","Paladin","PC"
"2018/11/24 8:00:34 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Arcade;Card;RPG;Puzzle;Music;MOBA","league of legends","PAYDAY2","PC"
"2018/11/24 8:18:48 PM GMT+7","หญิง","16 - 22ปี","Music;MOBA","league of legends ","Mstar","PC"
"2018/11/24 8:31:51 PM GMT+7","ชาย","16 - 22ปี","MOBA","Lol ","Rov","PC"
"2018/11/24 9:34:55 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Arcade;Card;RPG;Racing;Puzzle;Music;MOBA","LEAGUE OF LEGENDS","ONE PIECE BURNING BLOOD","PC"
"2018/11/25 11:57:16 AM GMT+7","หญิง","16 - 22ปี","Card;Music","Tales Runner","Tokyo 7th Sisters","PC"
"2018/11/27 9:42:31 AM GMT+7","หญิง","16 - 22ปี","Music;MOBA","Rov","มายคราฟ","Mobile"
"2018/11/29 1:48:35 PM GMT+7","หญิง","16 - 22ปี","Action;Adventure;Arcade;Card;RPG;Puzzle;Music","Overwatch","Food fantasy","Mobile"
