"Timestamp","เพศ","ช่วงอายุ","แนวเกม","เกมที่เล่น #1","เกมที่เล่น #2","Platform ที่เล่นบ่อยที่สุด"
"2018/11/13 5:32:05 PM GMT+7","ชาย","16 - 22ปี","RPG;Racing;Other","Mu","Ros","PC"
"2018/11/13 5:43:06 PM GMT+7","หญิง","9 - 15ปี","Adventure;RPG;Music;MOBA","Ragnarok m","Identity V","Mobile"
"2018/11/13 6:47:50 PM GMT+7","หญิง","9 - 15ปี","Music;MOBA","5v5","Smule ","Mobile"
"2018/11/13 7:44:30 PM GMT+7","หญิง","16 - 22ปี","Puzzle","2048","twenty","Mobile"
"2018/11/13 8:50:23 PM GMT+7","หญิง","16 - 22ปี","Adventure","Black Desert online","Eden online","PC"
"2018/11/13 8:55:29 PM GMT+7","ชาย","16 - 22ปี","Action","Black desert online","Atlandtica","PC"
"2018/11/13 9:06:17 PM GMT+7","ชาย","23 - 29ปี","Action;Adventure;Arcade;Card;RPG;Racing;Puzzle;Sports;Music;MOBA","BDO","RB6","PC"
"2018/11/13 9:34:21 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Sports;MOBA","DOTA 2","FIFA","PC"
"2018/11/13 10:09:53 PM GMT+7","หญิง","16 - 22ปี","Adventure;Arcade;RPG;Music;MOBA","League of legend","Ragnarok","PC"
"2018/11/13 10:31:53 PM GMT+7","หญิง","16 - 22ปี","Puzzle","Helic jump","Wabarebear","Mobile"
"2018/11/13 11:48:59 PM GMT+7","หญิง","16 - 22ปี","Action;Adventure;MOBA;Other","Assasin's creed odessy","ROV","Mobile"
"2018/11/14 6:39:30 AM GMT+7","ชาย","9 - 15ปี","Action;Adventure;Arcade;RPG;Racing;Music","PUBG Mobile","Opsu! ","Mobile"
"2018/11/14 8:14:25 AM GMT+7","หญิง","9 - 15ปี","Action;Card;Puzzle;Music;MOBA","Identity V","warewolf","Mobile"
"2018/11/14 1:58:06 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;Arcade;RPG;Puzzle","Resident evil","Silent hill","PC"
"2018/11/14 1:58:31 PM GMT+7","หญิง","16 - 22ปี","Action;Adventure;Music","Rov","Audition","Mobile"
"2018/11/14 2:03:48 PM GMT+7","ชาย","16 - 22ปี","Action;Adventure;RPG;MOBA;Other","Overwatch ","Monsters Hunter World ","PC"
"2018/11/14 2:49:26 PM GMT+7","ชาย","30 ปี ขึ้นไป","Action","Vf","Seven kight","Mobile"
"2018/11/14 4:04:16 PM GMT+7","หญิง","23 - 29ปี","Music","Audition ","Au-allstar","Mobile"
"2018/11/14 8:57:33 PM GMT+7","ไม่ต้องการระบุ","16 - 22ปี","Action;Other","beach head 2000","wolfenstein 3d","PC"
"2018/11/14 9:51:40 PM GMT+7","ชาย","16 - 22ปี","Action","Takken","Zombii","Mobile"
